Date Time, Water Level, Sigma, I, L 
2020-01-08 00:00,-0.205,0.115,0,0
2020-01-08 01:00,0.310,0.085,0,0
2020-01-08 02:00,1.163,0.069,0,0
2020-01-08 03:00,2.193,0.082,0,0
2020-01-08 04:00,3.105,0.085,0,0
2020-01-08 05:00,3.866,0.056,0,0
2020-01-08 06:00,4.296,0.052,0,0
2020-01-08 07:00,4.293,0.052,0,0
2020-01-08 08:00,3.988,0.095,0,0
2020-01-08 09:00,3.492,0.082,0,0
2020-01-08 10:00,2.987,0.085,0,0
2020-01-08 11:00,2.879,0.072,0,0
2020-01-08 12:00,3.217,0.082,0,0
2020-01-08 13:00,3.817,0.082,0,0
2020-01-08 14:00,4.598,0.079,0,0
2020-01-08 15:00,5.447,0.102,0,0
2020-01-08 16:00,6.120,0.092,0,0
2020-01-08 17:00,6.455,0.098,0,0
2020-01-08 18:00,6.136,0.102,0,0
2020-01-08 19:00,5.178,0.121,0,0
2020-01-08 20:00,3.581,0.131,0,0
2020-01-08 21:00,2.075,0.144,0,0
2020-01-08 22:00,0.657,0.141,0,0
2020-01-08 23:00,-0.297,0.154,0,0
2020-01-09 00:00,-0.675,0.121,0,0
2020-01-09 01:00,-0.451,0.085,0,0
2020-01-09 02:00,0.316,0.082,0,0
2020-01-09 03:00,1.304,0.082,0,0
2020-01-09 04:00,2.423,0.089,0,0
2020-01-09 05:00,3.417,0.102,0,0
2020-01-09 06:00,4.188,0.108,0,0
2020-01-09 07:00,4.670,0.066,0,0
2020-01-09 08:00,4.581,0.075,0,0
2020-01-09 09:00,4.234,0.092,0,0
2020-01-09 10:00,3.627,0.098,0,0
2020-01-09 11:00,3.236,0.102,0,0
2020-01-09 12:00,3.138,0.102,0,0
2020-01-09 13:00,3.692,0.102,0,0
2020-01-09 14:00,4.388,0.108,0,0
2020-01-09 15:00,5.287,0.102,0,0
2020-01-09 16:00,6.054,0.108,0,0
2020-01-09 17:00,6.717,0.138,0,0
2020-01-09 18:00,6.839,0.102,0,0
2020-01-09 19:00,6.159,0.118,0,0
2020-01-09 20:00,4.752,0.148,0,0
2020-01-09 21:00,2.882,0.154,0,0
2020-01-09 22:00,1.205,0.151,0,0
2020-01-09 23:00,-0.140,0.164,0,0
2020-01-10 00:00,-0.957,0.115,0,0
2020-01-10 01:00,-1.068,0.108,0,0
2020-01-10 02:00,-0.789,0.131,0,0
2020-01-10 03:00,0.215,0.108,0,0
2020-01-10 04:00,1.419,0.112,0,0
2020-01-10 05:00,2.649,0.144,0,0
