,amplitude,smoothed_amplitude,amplitude_log
2023-06-21 15:00:00,388.4171309043972,,
2023-06-21 15:30:00,-70.58496745127583,,
2023-06-21 16:00:00,71.60117442229513,,
2023-06-21 16:30:00,219.4899455970821,152.23082086812465,0.9483165561649082
2023-06-21 17:00:00,196.54937889629696,104.26388286609959,0.9447325317554964
2023-06-21 17:30:00,150.68258108778556,159.58077000086493,0.9488569217520875
2023-06-21 18:00:00,139.70688901541735,176.6071986491455,0.9500999515868133
2023-06-21 18:30:00,95.01491709292274,145.48844152310565,0.9478188323411759
2023-06-21 19:00:00,133.5805170414154,129.74622605938526,0.9466491015760202
2023-06-21 19:30:00,86.39432583112014,113.6741622452189,0.9454436614750011
2023-06-21 20:00:00,128.14329359547372,110.783263390233,0.9452256205073868
2023-06-21 20:30:00,37.24358401023669,96.34043011956149,0.9441306627003208
2023-06-21 21:00:00,45.58770995275302,74.34222834739589,0.9424445869138922
2023-06-21 21:30:00,44.882302363578546,63.96422248051049,0.9416413287316061
2023-06-21 22:00:00,6.067634571955768,33.44530772463101,0.939249343989815
2023-06-21 22:30:00,-33.70926500895235,15.707095469833746,0.9378381238219446
2023-06-21 23:00:00,-57.234085903319134,-9.998353494184293,0.9357648580438646
2023-06-21 23:30:00,-114.66689580365323,-49.885653035992235,0.9324793411255217
2023-06-22 00:00:00,-42.358284036194455,-61.9921326880298,0.9314651102622022
2023-06-22 00:30:00,-158.4377698103209,-93.17425888837194,0.928814947923666
2023-06-22 01:00:00,-218.06217463031862,-133.38128107012182,0.9253141954742368
2023-06-22 01:30:00,-223.82853842167322,-160.67169172462678,0.9228819732592265
2023-06-22 02:00:00,-286.5803514264984,-221.7272085722028,0.9172659822238155
2023-06-22 02:30:00,-279.8631726497443,-252.08355928205864,0.9143786903726585
2023-06-22 03:00:00,-285.87411491990855,-269.0365443544561,0.9127372564959618
2023-06-22 03:30:00,-291.44022221001495,-285.93946530154153,0.9110793104062819
2023-06-22 04:00:00,-306.3942958076334,-290.8929513968253,0.9105893188800277
2023-06-22 04:30:00,-305.4417829371677,-297.2876039686812,0.9099539657580642
2023-06-22 05:00:00,-136.17879817464336,-259.8637747823649,0.9136280172941288
2023-06-22 05:30:00,-363.36616878768496,-277.8452614267824,0.9118759378702981
2023-06-22 06:00:00,-691.5226277113752,-374.1273444027178,0.902060416693417
2023-06-22 06:30:00,-681.6739163612971,-468.1853777587502,0.8916798170664899
2023-06-22 07:00:00,-864.0669670956374,-650.1574199889988,0.8688182292150782
2023-06-22 07:30:00,-1203.7723570785527,-860.2589670617156,0.8360144179654716
2023-06-22 08:00:00,-1105.9978151626153,-963.8777639245257,0.8160748485883764
2023-06-22 08:30:00,-1120.21733677841,-1073.513619028804,0.790899881037113
2023-06-22 09:00:00,-1087.7276753946614,-1129.4287961035598,0.775845393016619
2023-06-22 09:30:00,-813.644632185601,-1031.896864880322,0.8010511561522948
2023-06-22 10:00:00,-893.330847029061,-978.7301228469333,0.8129423835339092
2023-06-22 10:30:00,-510.34816200012114,-826.2628291523612,0.8419297894747984
2023-06-22 11:00:00,-417.6012286337669,-658.7312174621376,0.8676327282130311
2023-06-22 11:30:00,-608.3069811957067,-607.396804714664,0.8745712289390684
2023-06-22 12:00:00,-456.48880726228265,-498.18629477296935,0.8881823354279064
2023-06-22 12:30:00,-435.9232359963264,-479.58006327202065,0.8903627332389219
2023-06-22 13:00:00,-355.67130691924757,-464.09758284339085,0.8921490116459162
2023-06-22 13:30:00,-426.3176314569857,-418.6002454087105,0.8972575963276205
2023-06-22 14:00:00,-250.34697875552936,-367.0647882820223,0.9028067219966232
2023-06-22 14:30:00,-281.5309180730471,-328.46670880120246,0.906809823222143
2023-06-22 15:00:00,-329.35425674115965,-321.88744625668045,0.9074797839843745
2023-06-22 15:30:00,-399.109869879033,-315.0855058621923,0.9081687305114128
2023-06-22 16:00:00,-337.10945822674563,-336.77612572999635,0.9059586091684486
2023-06-22 16:30:00,-300.87562721244393,-341.61230301484557,0.9054605580133471
2023-06-22 17:00:00,-248.27849634819466,-321.3433629166043,0.9075350299119818
2023-06-22 17:30:00,-202.169129253095,-272.1081777601198,0.9124375731072406
2023-06-22 18:00:00,-181.62678233646324,-233.23750878754922,0.9161788981868094
2023-06-22 18:30:00,-157.59796242877252,-197.41809259163136,0.9195317658157487
2023-06-22 19:00:00,-90.07593148095347,-157.86745137482106,0.9231340519294166
2023-06-22 19:30:00,-129.76422947698785,-139.7662264307943,0.9247492982911432
2023-06-22 20:00:00,-65.46637584312195,-110.72612480745894,0.9272985718793822
2023-06-22 20:30:00,-75.31288170179437,-90.15485462571442,0.9290739940077655
2023-06-22 21:00:00,-34.002761752633816,-76.13656219363449,0.9302698149189969
2023-06-22 21:30:00,-28.685620677820236,-50.86690999384259,0.9323974359184338
2023-06-22 22:00:00,-57.381359395370765,-48.845655881904804,0.9325660918371083
2023-06-22 22:30:00,-136.12541005003786,-64.04878796896567,0.9312920058446404
2023-06-22 23:00:00,-117.12477404142425,-84.82929104116327,0.9295296125303578
2023-06-22 23:30:00,-191.5315896930556,-125.54078329497212,0.9260044564766264
2023-06-23 00:00:00,-206.3681092965053,-162.78747077025574,0.9226914505914665
2023-06-23 00:30:00,-259.1618157984627,-193.54657220736195,0.9198889230781147
2023-06-23 01:00:00,-280.1457913296529,-234.30182652941915,0.9160779085237962
2023-06-23 01:30:00,-292.31085168250775,-259.4966420267822,0.9136635398020806
2023-06-23 02:00:00,-342.0730696114991,-293.4228821055306,0.9103383319116033
2023-06-23 02:30:00,-339.83378169131265,-313.59087357874307,0.9083196183021336
2023-06-23 03:00:00,-326.6652926770611,-325.22074891559515,0.9071407975219284
2023-06-23 03:30:00,-349.16288783744915,-339.43375795433053,0.9056851556833507
2023-06-23 04:00:00,-337.34143968638307,-338.2508504730515,0.90580694194453
