"Date","Time (GMT)","Predicted (ft)","Preliminary (ft)","Verified (ft)"
"2018/01/08","00:00","4.702","-","4.93"
"2018/01/08","01:00","4.227","-","4.48"
"2018/01/08","02:00","3.333","-","3.64"
"2018/01/08","03:00","2.247","-","2.34"
"2018/01/08","04:00","1.265","-","1.39"
"2018/01/08","05:00","0.647","-","0.96"
"2018/01/08","06:00","0.51","-","0.76"
"2018/01/08","07:00","0.851","-","1.15"
"2018/01/08","08:00","1.604","-","1.96"
"2018/01/08","09:00","2.62","-","3.07"
"2018/01/08","10:00","3.708","-","4.1"
"2018/01/08","11:00","4.704","-","5.06"
"2018/01/08","12:00","5.425","-","5.8"
"2018/01/08","13:00","5.675","-","6.11"
"2018/01/08","14:00","5.376","-","5.91"
"2018/01/08","15:00","4.623","-","5.23"
"2018/01/08","16:00","3.64","-","4.22"
"2018/01/08","17:00","2.713","-","3.22"
"2018/01/08","18:00","2.068","-","2.65"
"2018/01/08","19:00","1.805","-","2.4"
"2018/01/08","20:00","1.943","-","2.55"
"2018/01/08","21:00","2.404","-","3.05"
"2018/01/08","22:00","3.013","-","3.69"
"2018/01/08","23:00","3.611","-","4.26"
"2018/01/09","00:00","4.061","-","4.79"
"2018/01/09","01:00","4.202","-","5.01"
"2018/01/09","02:00","3.936","-","4.87"
"2018/01/09","03:00","3.311","-","4.22"
"2018/01/09","04:00","2.496","-","3.3"
"2018/01/09","05:00","1.732","-","2.6"
"2018/01/09","06:00","1.248","-","2.13"
"2018/01/09","07:00","1.157","-","2.09"
"2018/01/09","08:00","1.486","-","2.51"
"2018/01/09","09:00","2.19","-","3.17"
"2018/01/09","10:00","3.123","-","4.14"
"2018/01/09","11:00","4.106","-","4.99"
"2018/01/09","12:00","4.99","-","5.86"
"2018/01/09","13:00","5.598","-","6.46"
"2018/01/09","14:00","5.745","-","6.67"
"2018/01/09","15:00","5.367","-","6.15"
"2018/01/09","16:00","4.547","-","5.41"
"2018/01/09","17:00","3.497","-","4.23"
"2018/01/09","18:00","2.494","-","3.25"
"2018/01/09","19:00","1.76","-","2.5"
"2018/01/09","20:00","1.408","-","2.09"
"2018/01/09","21:00","1.47","-","2.07"
"2018/01/09","22:00","1.869","-","2.53"
"2018/01/09","23:00","2.443","-","2.89"
"2018/01/10","00:00","3.061","-","3.59"
"2018/01/10","01:00","3.601","-","4.05"
"2018/01/10","02:00","3.902","-","4.33"
"2018/01/10","03:00","3.851","-","4.16"
"2018/01/10","04:00","3.458","-","3.71"
"2018/01/10","05:00","2.843","-","3.09"
"2018/01/10","06:00","2.219","-","2.32"
"2018/01/10","07:00","1.804","-","2.03"
"2018/01/10","08:00","1.726","-","1.81"
"2018/01/10","09:00","2.036","-","2.23"
"2018/01/10","10:00","2.7","-","2.86"
"2018/01/10","11:00","3.566","-","3.75"
"2018/01/10","12:00","4.465","-","4.65"
"2018/01/10","13:00","5.257","-","5.25"
"2018/01/10","14:00","5.761","-","5.7"
"2018/01/10","15:00","5.801","-","5.8"
"2018/01/10","16:00","5.317","-","5.37"
"2018/01/10","17:00","4.392","-","4.52"
"2018/01/10","18:00","3.243","-","3.33"
"2018/01/10","19:00","2.155","-","2.2"
"2018/01/10","20:00","1.353","-","1.44"
"2018/01/10","21:00","0.96","-","1.03"
"2018/01/10","22:00","1.007","-","0.97"
"2018/01/10","23:00","1.407","-","1.47"
"2018/01/11","00:00","2.009","-","2.07"
"2018/01/11","01:00","2.702","-","2.82"
"2018/01/11","02:00","3.366","-","3.45"
"2018/01/11","03:00","3.826","-","3.89"
"2018/01/11","04:00","3.948","-","4.03"
"2018/01/11","05:00","3.708","-","3.74"
"2018/01/11","06:00","3.202","-","3.31"
"2018/01/11","07:00","2.643","-","2.67"
"2018/01/11","08:00","2.255","-","2.27"
"2018/01/11","09:00","2.182","-","2.14"
"2018/01/11","10:00","2.491","-","2.52"
"2018/01/11","11:00","3.138","-","3.09"
"2018/01/11","12:00","3.963","-","3.92"
"2018/01/11","13:00","4.8","-","4.69"
"2018/01/11","14:00","5.51","-","5.33"
"2018/01/11","15:00","5.905","-","5.81"
"2018/01/11","16:00","5.81","-","5.65"
"2018/01/11","17:00","5.18","-","5.14"
"2018/01/11","18:00","4.113","-","3.96"
"2018/01/11","19:00","2.852","-","2.73"
"2018/01/11","20:00","1.701","-","1.55"
"2018/01/11","21:00","0.884","-","0.73"
"2018/01/11","22:00","0.521","-","0.37"
"2018/01/11","23:00","0.625","-","0.52"
"2018/01/12","00:00","1.091","-","0.95"
"2018/01/12","01:00","1.774","-","1.7"
"2018/01/12","02:00","2.576","-","2.55"
"2018/01/12","03:00","3.364","-","3.26"
"2018/01/12","04:00","3.942","-","3.79"
"2018/01/12","05:00","4.156","-","3.95"
"2018/01/12","06:00","3.972","-","3.75"
"2018/01/12","07:00","3.491","-","3.41"
"2018/01/12","08:00","2.945","-","2.81"
