system:time_start,NDVI,fitted
"Jun 28, 2022",0.284,0.298
"Jul 5, 2022",,0.302
"Jul 5, 2022",,0.302
"Jul 14, 2022",0.313,0.305
"Jul 21, 2022",0.306,0.306
"Jul 21, 2022",0.302,0.306
"Jul 30, 2022",0.264,0.307
"Aug 6, 2022",,0.306
"Aug 6, 2022",,0.306
"Aug 15, 2022",0.308,0.303
"Aug 22, 2022",0.303,0.299
"Aug 22, 2022",0.3,0.299
"Aug 31, 2022",0.315,0.294
"Sep 7, 2022",0.251,0.288
"Sep 7, 2022",0.256,0.288
"Sep 16, 2022",,0.28
"Sep 23, 2022",0.296,0.273
"Sep 23, 2022",0.302,0.273
"Oct 2, 2022",,0.263
"Oct 9, 2022",0.238,0.255
"Oct 9, 2022",0.279,0.255
"Oct 18, 2022",,0.244
"Oct 25, 2022",,0.236
"Oct 25, 2022",,0.236
"Nov 3, 2022",,0.225
"Nov 10, 2022",0.278,0.216
"Nov 10, 2022",0.288,0.216
"Nov 19, 2022",,0.206
"Nov 26, 2022",,0.198
"Nov 26, 2022",,0.198
"Dec 5, 2022",,0.189
"Dec 12, 2022",,0.183
"Dec 12, 2022",,0.183
"Dec 21, 2022",,0.177
"Dec 28, 2022",,0.172
"Dec 28, 2022",,0.172
"Jan 6, 2023",,0.168
"Jan 22, 2023",,0.166
"Jan 29, 2023",,0.166
"Feb 7, 2023",,0.168
"Feb 14, 2023",,0.171
"Feb 14, 2023",,0.171
"Feb 23, 2023",,0.176
"Mar 2, 2023",,0.181
"Mar 2, 2023",,0.181
"Mar 11, 2023",,0.189
"Mar 18, 2023",,0.196
"Mar 27, 2023",,0.206
"Apr 3, 2023",,0.214
"Apr 3, 2023",,0.214
"Apr 12, 2023",,0.225
"Apr 19, 2023",,0.234
"Apr 19, 2023",,0.234
"Apr 28, 2023",0.28,0.246
"May 14, 2023",,0.266
"May 21, 2023",0.253,0.274
"May 21, 2023",0.253,0.274
"May 30, 2023",,0.285
"Jun 6, 2023",,0.292
"Jun 15, 2023",,0.3
"Jun 22, 2023",,0.306
"Jun 22, 2023",,0.306
"Jul 1, 2023",0.298,0.311
"Jul 8, 2023",0.344,0.315
"Jul 8, 2023",0.334,0.315
"Jul 17, 2023",0.324,0.318
"Jul 24, 2023",0.26,0.319
"Jul 24, 2023",0.263,0.319
"Aug 2, 2023",,0.318
"Aug 9, 2023",0.285,0.317
"Aug 9, 2023",0.292,0.317
"Aug 18, 2023",,0.314
"Aug 25, 2023",0.288,0.31
"Aug 25, 2023",0.282,0.31
"Sep 3, 2023",,0.304
"Sep 10, 2023",0.314,0.298
"Sep 10, 2023",0.32,0.298
"Sep 19, 2023",,0.289
"Sep 26, 2023",,0.282
"Sep 26, 2023",,0.282
"Oct 5, 2023",0.317,0.272
"Oct 12, 2023",0.304,0.264
"Oct 12, 2023",0.304,0.264
"Oct 21, 2023",,0.253
"Oct 28, 2023",,0.244
"Oct 28, 2023",,0.244
"Nov 6, 2023",0.129,0.233
"Nov 13, 2023",,0.225
"Nov 13, 2023",,0.225
"Nov 22, 2023",,0.215
"Nov 29, 2023",,0.207
"Nov 29, 2023",,0.207
"Dec 8, 2023",,0.199
"Dec 15, 2023",,0.193
"Dec 15, 2023",,0.193
"Dec 24, 2023",,0.187
"Dec 31, 2023",,0.183
"Jan 9, 2024",,0.179
"Jan 25, 2024",,0.178
"Feb 1, 2024",0.1,0.178
"Feb 1, 2024",0.097,0.178
"Feb 10, 2024",,0.181
"Feb 26, 2024",,0.19
"Mar 13, 2024",0.204,0.203
"Mar 20, 2024",,0.211
"Mar 20, 2024",,0.211
"Mar 29, 2024",,0.221
"Apr 5, 2024",,0.229
"Apr 5, 2024",,0.229
"Apr 14, 2024",,0.24
"Apr 21, 2024",0.282,0.249
"Apr 21, 2024",0.282,0.249
"Apr 30, 2024",,0.261
"May 7, 2024",0.307,0.27
"May 7, 2024",0.311,0.27
"May 16, 2024",,0.281
"May 23, 2024",0.31,0.29
"May 23, 2024",0.305,0.29
"Jun 1, 2024",,0.299
"Jun 8, 2024",,0.306
"Jun 8, 2024",,0.306
"Jun 17, 2024",0.321,0.314
