system:time_start,NDVI,fitted
"Jun 28, 2022",0.709,0.696
"Jul 5, 2022",,0.697
"Jul 5, 2022",,0.697
"Jul 14, 2022",0.689,0.697
"Jul 21, 2022",0.687,0.696
"Jul 21, 2022",0.687,0.696
"Jul 30, 2022",,0.693
"Aug 6, 2022",,0.69
"Aug 6, 2022",,0.69
"Aug 15, 2022",0.675,0.685
"Aug 22, 2022",0.7,0.68
"Aug 22, 2022",0.7,0.68
"Aug 31, 2022",0.708,0.673
"Sep 7, 2022",0.67,0.667
"Sep 7, 2022",0.673,0.667
"Sep 16, 2022",0.671,0.658
"Sep 23, 2022",0.69,0.651
"Sep 23, 2022",0.69,0.651
"Oct 2, 2022",0.459,0.642
"Oct 9, 2022",0.64,0.634
"Oct 9, 2022",0.638,0.634
"Oct 18, 2022",0.676,0.625
"Oct 25, 2022",0.702,0.617
"Oct 25, 2022",0.701,0.617
"Nov 3, 2022",0.694,0.608
"Nov 10, 2022",0.678,0.602
"Nov 10, 2022",0.68,0.602
"Nov 19, 2022",0.659,0.594
"Nov 26, 2022",0.673,0.589
"Nov 26, 2022",0.675,0.589
"Dec 5, 2022",,0.583
"Dec 12, 2022",0.426,0.579
"Dec 12, 2022",0.427,0.579
"Dec 21, 2022",0.397,0.576
"Dec 28, 2022",,0.574
"Dec 28, 2022",,0.574
"Jan 6, 2023",,0.574
"Jan 22, 2023",0.65,0.576
"Jan 29, 2023",,0.578
"Feb 7, 2023",,0.583
"Feb 14, 2023",0.647,0.587
"Feb 14, 2023",0.646,0.587
"Feb 23, 2023",,0.594
"Mar 2, 2023",0.454,0.6
"Mar 2, 2023",0.454,0.6
"Mar 11, 2023",,0.608
"Mar 18, 2023",,0.615
"Mar 27, 2023",0.636,0.625
"Apr 3, 2023",0.672,0.633
"Apr 3, 2023",0.672,0.633
"Apr 12, 2023",0.666,0.642
"Apr 19, 2023",0.658,0.65
"Apr 19, 2023",0.658,0.65
"Apr 28, 2023",0.595,0.66
"May 14, 2023",,0.676
"May 21, 2023",,0.682
"May 21, 2023",,0.682
"May 30, 2023",,0.689
"Jun 6, 2023",,0.693
"Jun 15, 2023",0.556,0.698
"Jun 22, 2023",,0.701
"Jun 22, 2023",,0.701
"Jul 1, 2023",0.692,0.703
"Jul 8, 2023",0.696,0.704
"Jul 8, 2023",0.696,0.704
"Jul 17, 2023",0.698,0.703
"Jul 24, 2023",0.691,0.702
"Jul 24, 2023",0.691,0.702
"Aug 2, 2023",,0.699
"Aug 9, 2023",,0.696
"Aug 9, 2023",,0.696
"Aug 18, 2023",,0.69
"Aug 25, 2023",0.639,0.685
"Aug 25, 2023",0.639,0.685
"Sep 3, 2023",0.637,0.678
"Sep 10, 2023",0.676,0.671
"Sep 10, 2023",0.676,0.671
"Sep 19, 2023",0.605,0.662
"Sep 26, 2023",0.626,0.655
"Sep 26, 2023",0.627,0.655
"Oct 5, 2023",0.682,0.646
"Oct 12, 2023",0.709,0.638
"Oct 12, 2023",0.709,0.638
"Oct 21, 2023",,0.629
"Oct 28, 2023",0.684,0.621
"Oct 28, 2023",0.683,0.621
"Nov 6, 2023",0.326,0.613
"Nov 13, 2023",,0.606
"Nov 13, 2023",,0.606
"Nov 22, 2023",0.491,0.599
"Nov 29, 2023",0.65,0.594
"Nov 29, 2023",0.652,0.594
"Dec 8, 2023",0.63,0.588
"Dec 15, 2023",,0.585
"Dec 15, 2023",,0.585
"Dec 24, 2023",,0.582
"Dec 31, 2023",,0.581
"Jan 9, 2024",0.371,0.581
"Jan 25, 2024",0.613,0.584
"Feb 1, 2024",,0.586
"Feb 1, 2024",,0.586
"Feb 10, 2024",0.666,0.591
"Feb 26, 2024",,0.603
"Mar 13, 2024",0.624,0.618
"Mar 20, 2024",0.675,0.625
"Mar 20, 2024",0.675,0.625
"Mar 29, 2024",,0.635
"Apr 5, 2024",0.682,0.642
"Apr 5, 2024",0.682,0.642
"Apr 14, 2024",,0.652
"Apr 21, 2024",0.687,0.66
"Apr 21, 2024",0.688,0.66
"Apr 30, 2024",0.687,0.67
"May 7, 2024",0.692,0.677
"May 7, 2024",0.691,0.677
"May 16, 2024",,0.685
"May 23, 2024",0.708,0.691
"May 23, 2024",0.708,0.691
"Jun 1, 2024",0.685,0.698
"Jun 8, 2024",,0.702
"Jun 8, 2024",,0.702
"Jun 17, 2024",0.718,0.706
"Jun 21, 2024",0.718,0.706
