timestamp,HourlyDryBulbTemperature,HourlyPrecipitation,HourlyWindSpeed,HourlyRelativeHumidity,HourlySeaLevelPressure,HourlyWindDirection,HourlyVisibility
2022-12-21 22:00:00,51.0,0.0,7.0,81.5,30.2,25.0,9.969999999999999
2022-12-21 23:00:00,51.0,0.0,0.0,80.0,30.2,0.0,10.0
2022-12-22 00:00:00,50.0,0.0,0.0,77.0,30.19,0.0,10.0
2022-12-22 01:00:00,50.0,0.0,7.0,83.0,30.18,10.0,10.0
2022-12-22 02:00:00,50.0,0.0,0.0,83.0,30.18,0.0,10.0
2022-12-22 03:00:00,47.0,0.0,5.0,86.0,30.17,250.0,9.0
2022-12-22 04:00:00,48.5,0.0,6.5,83.0,30.165,140.0,8.85
2022-12-22 05:00:00,48.0,0.0,6.0,86.0,30.16,30.0,9.0
2022-12-22 06:00:00,48.0,0.0,3.0,84.5,30.16,35.0,10.0
2022-12-22 07:00:00,48.0,0.0,6.0,86.0,30.17,20.0,10.0
2022-12-22 08:00:00,48.0,0.0,6.0,83.0,30.18,40.0,8.0
2022-12-22 09:00:00,49.0,0.0,6.0,83.0,30.17,70.0,8.0
2022-12-22 10:00:00,49.0,0.0,4.5,81.5,30.165,75.0,7.23
2022-12-22 11:00:00,51.0,0.0,9.0,80.0,30.16,20.0,7.0
2022-12-22 12:00:00,51.0,0.0,13.0,83.0,30.14,20.0,6.0
2022-12-22 13:00:00,53.0,0.0,7.0,77.0,30.12,30.0,6.0
2022-12-22 14:00:00,53.0,0.0,0.0,74.0,30.11,0.0,8.0
2022-12-22 15:00:00,52.0,0.0,3.0,80.0,30.11,20.0,9.0
2022-12-22 16:00:00,51.5,0.0,4.5,81.5,30.11,20.0,7.85
2022-12-22 17:00:00,51.0,0.0,6.0,80.0,30.12,10.0,8.0
2022-12-22 18:00:00,50.0,0.0,9.0,80.0,30.14,350.0,9.0
2022-12-22 19:00:00,56.0,0.0,0.0,65.0,30.16,0.0,9.0
2022-12-22 20:00:00,56.0,0.0,6.0,65.0,30.15,50.0,9.0
2022-12-22 21:00:00,52.0,0.0,5.0,75.0,30.18,10.0,9.0
2022-12-22 22:00:00,50.5,0.0,5.0,80.5,30.175,30.0,8.35
2022-12-22 23:00:00,49.0,0.0,9.0,86.0,30.19,350.0,8.0
2022-12-23 00:00:00,49.0,0.0,7.0,84.5,30.185000000000002,180.0,7.0
2022-12-23 01:00:00,50.0,0.0,8.0,83.0,30.18,30.0,7.0
2022-12-23 02:00:00,50.0,0.0,5.0,83.0,30.19,40.0,6.0
2022-12-23 03:00:00,51.0,0.0,6.0,80.0,30.19,50.0,6.0
2022-12-23 04:00:00,50.0,0.0,5.5,83.0,30.195,50.0,5.795
2022-12-23 05:00:00,50.0,0.0,0.0,83.0,30.205,0.0,6.5
2022-12-23 06:00:00,49.5,0.0,6.0,84.5,30.21,45.0,2.5
2022-12-23 07:00:00,50.0,0.0,5.5,83.0,30.225,40.0,5.0
2022-12-23 08:00:00,50.0,0.0,6.0,83.0,30.26,40.0,6.0
2022-12-23 09:00:00,50.0,0.0,6.0,83.0,30.27,80.0,5.0
2022-12-23 10:00:00,50.5,0.0,4.5,83.0,30.265,80.0,4.984999999999999
2022-12-23 11:00:00,53.5,0.0,7.5,77.0,30.255000000000003,30.0,4.0
2022-12-23 12:00:00,54.0,0.0,5.0,77.0,30.24,10.0,4.0
2022-12-23 13:00:00,56.0,0.0,5.0,75.0,30.23,30.0,5.0
2022-12-23 14:00:00,55.0,0.0,0.0,80.0,30.22,0.0,7.0
2022-12-23 15:00:00,56.0,0.0,3.0,70.0,30.23,170.0,7.0
2022-12-23 16:00:00,54.5,0.0,1.5,76.5,30.235,85.0,7.42
2022-12-23 17:00:00,53.0,0.0,6.0,86.0,30.27,20.0,9.0
2022-12-23 18:00:00,53.0,0.0,5.0,80.0,30.29,350.0,9.0
2022-12-23 19:00:00,52.0,0.0,6.0,83.0,30.3,50.0,9.0
2022-12-23 20:00:00,51.0,0.0,6.0,86.0,30.29,120.0,9.0
2022-12-23 21:00:00,51.0,0.0,5.0,83.0,30.28,130.0,9.0
2022-12-23 22:00:00,50.5,0.0,4.0,83.0,30.285,110.0,8.35
2022-12-23 23:00:00,51.0,0.0,0.0,86.0,30.32,0.0,8.0
2022-12-24 00:00:00,49.0,0.0,5.0,86.0,30.31,190.0,6.0
2022-12-24 01:00:00,49.0,0.0,0.0,86.0,30.32,0.0,6.0
2022-12-24 02:00:00,47.0,0.0,3.0,90.0,30.34,200.0,6.0
2022-12-24 03:00:00,46.0,0.0,3.0,89.0,30.35,200.0,7.0
2022-12-24 04:00:00,45.5,0.0,1.5,91.0,30.35,100.0,7.42
2022-12-24 05:00:00,47.0,0.0,3.0,90.0,30.37,200.0,8.0
2022-12-24 06:00:00,49.0,0.0,5.0,90.0,30.38,110.0,10.0
2022-12-24 07:00:00,46.0,0.0,0.0,93.0,30.4,0.0,10.0
2022-12-24 08:00:00,50.0,0.0,0.0,89.0,30.43,0.0,8.0
2022-12-24 09:00:00,51.0,0.0,3.0,86.0,30.44,80.0,8.0
2022-12-24 10:00:00,52.0,0.0,3.0,84.5,30.435000000000002,75.0,7.73
2022-12-24 11:00:00,54.0,0.0,5.0,80.0,30.4,30.0,9.0
2022-12-24 12:00:00,55.0,0.0,5.0,72.0,30.37,40.0,9.0
2022-12-24 13:00:00,55.0,0.0,3.0,77.0,30.34,10.0,10.0
2022-12-24 14:00:00,56.0,0.0,0.0,75.0,30.33,0.0,10.0
2022-12-24 15:00:00,57.0,0.0,0.0,69.0,30.33,0.0,10.0
2022-12-24 16:00:00,57.0,0.0,0.0,68.0,30.33,0.0,9.969999999999999
2022-12-24 17:00:00,56.0,0.0,0.0,72.0,30.34,0.0,10.0
2022-12-24 18:00:00,55.0,0.0,5.0,77.0,30.35,20.0,10.0
2022-12-24 19:00:00,54.0,0.0,5.0,80.0,30.35,150.0,10.0
2022-12-24 20:00:00,53.0,0.0,3.0,83.0,30.34,170.0,10.0
2022-12-24 21:00:00,52.0,0.0,7.0,93.0,30.34,60.0,10.0
2022-12-24 22:00:00,51.5,0.0,6.0,91.0,30.345,135.0,9.969999999999999
2022-12-24 23:00:00,53.0,0.0,0.0,83.0,30.35,0.0,10.0
2022-12-25 00:00:00,50.0,0.0,0.0,89.0,30.34,0.0,10.0
2022-12-25 01:00:00,49.0,0.0,3.0,93.0,30.33,160.0,10.0
2022-12-25 02:00:00,49.0,0.0,5.0,90.0,30.32,160.0,10.0
2022-12-25 03:00:00,48.0,0.0,3.0,93.0,30.31,150.0,10.0
2022-12-25 04:00:00,48.0,0.0,1.5,93.0,30.299999999999997,75.0,9.969999999999999
2022-12-25 05:00:00,49.5,0.0,0.0,95.5,30.285,0.0,9.0
2022-12-25 06:00:00,47.0,0.0,0.0,93.0,30.28,0.0,9.0
2022-12-25 07:00:00,48.0,0.0,3.0,96.0,30.29,150.0,9.0
2022-12-25 08:00:00,51.0,0.0,5.0,92.0,30.3,100.0,9.0
2022-12-25 09:00:00,54.0,0.0,5.0,83.0,30.32,50.0,9.0
2022-12-25 10:00:00,54.0,0.0,6.0,85.0,30.314999999999998,35.0,8.85
2022-12-25 11:00:00,56.0,0.0,3.0,77.0,30.31,20.0,10.0
2022-12-25 12:00:00,56.0,0.0,6.0,81.0,30.26,60.0,10.0
2022-12-25 13:00:00,55.0,0.0,3.0,80.0,30.24,60.0,10.0
2022-12-25 14:00:00,59.0,0.0,0.0,69.0,30.23,0.0,10.0
2022-12-25 15:00:00,56.0,0.0,7.0,77.0,30.17,130.0,10.0
2022-12-25 16:00:00,57.0,0.0,3.5,74.5,30.175,65.0,9.969999999999999
2022-12-25 17:00:00,53.0,0.0,5.0,89.0,30.18,50.0,10.0
2022-12-25 18:00:00,53.0,0.0,0.0,89.0,30.18,0.0,10.0
2022-12-25 19:00:00,53.0,0.0,9.0,86.0,30.21,360.0,10.0
